taken from https://physics.nist.gov/PhysRefData/FFast/html/form.html
    E              f1 
   keV           e atom-1

2.9791840E+00  3.53594E+01
2.9940799E+00  3.53902E+01
3.0090503E+00  3.54225E+01
3.0240956E+00  3.54522E+01
3.0392161E+00  3.54800E+01
3.0544122E+00  3.55064E+01
3.0696842E+00  3.55316E+01
3.0850326E+00  3.55558E+01
3.1004578E+00  3.55790E+01
3.1159601E+00  3.56013E+01
3.1315399E+00  3.56229E+01
3.1471976E+00  3.56438E+01
3.1629336E+00  3.56640E+01
3.1787482E+00  3.56836E+01
3.1946420E+00  3.57026E+01
3.2106152E+00  3.57211E+01
3.2266683E+00  3.57390E+01
3.2428016E+00  3.57565E+01
3.2590156E+00  3.57734E+01
3.2753107E+00  3.57899E+01
3.2916873E+00  3.58060E+01
3.3081457E+00  3.58217E+01
3.3246864E+00  3.58370E+01
3.3413099E+00  3.58519E+01
3.3580164E+00  3.59671E+01
3.3748065E+00  3.59811E+01
3.3916805E+00  3.59946E+01
3.4086389E+00  3.60076E+01
3.4256821E+00  3.60200E+01
3.4428105E+00  3.60319E+01
3.4600246E+00  3.60940E+01
3.4773247E+00  3.61050E+01
3.4947113E+00  3.61154E+01
3.5121849E+00  3.61254E+01
3.5297458E+00  3.61348E+01
3.5473945E+00  3.61437E+01
3.5651315E+00  3.61523E+01
3.5829572E+00  3.61603E+01
3.6008719E+00  3.61680E+01
3.6188763E+00  3.61753E+01
3.6369707E+00  3.61822E+01
3.6551555E+00  3.61888E+01
3.6734313E+00  3.61950E+01
3.6917985E+00  3.62010E+01
3.7102575E+00  3.62066E+01
3.7288088E+00  3.62119E+01
3.7474528E+00  3.62169E+01
3.7661901E+00  3.62216E+01
3.7850210E+00  3.62261E+01
3.8039461E+00  3.62304E+01
3.8229659E+00  3.62344E+01
3.8420807E+00  3.62807E+01
3.8612911E+00  3.62845E+01
3.8805975E+00  3.62880E+01
3.9000005E+00  3.62911E+01
3.9195005E+00  3.62939E+01
3.9390980E+00  3.62964E+01
3.9587935E+00  3.62986E+01
3.9785875E+00  3.63005E+01
3.9984804E+00  3.63022E+01
4.0184728E+00  3.63036E+01
4.0385652E+00  3.63047E+01
4.0587580E+00  3.63056E+01
4.0790518E+00  3.63063E+01
4.0994471E+00  3.63067E+01
4.1199443E+00  3.63069E+01
4.1405440E+00  3.63068E+01
4.1612467E+00  3.63066E+01
4.1820530E+00  3.63062E+01
4.2029632E+00  3.63055E+01
4.2239781E+00  3.63047E+01
4.2450980E+00  3.63037E+01
4.2663234E+00  3.63024E+01
4.2876551E+00  3.63010E+01
4.3090933E+00  3.62995E+01
4.3306388E+00  3.62977E+01
4.3522920E+00  3.62958E+01
4.3740535E+00  3.62938E+01
4.3959237E+00  3.62916E+01
